"","Col0.1","Col0.2","Col0.3","Col0.4","Col0.5","Col0.6","Col0.7","Col0.8","Col0.9","Col0.10","Col0.11","Col0.12","Col0.13","Col0.14","Col0.15","Col0.16","Col0.17","tt4.1","tt4.2","tt4.3","tt4.4","tt4.5","tt4.6","tt4.7","tt4.8","tt4.9","tt4.10","tt4.11","tt4.12","tt4.13","tt4.14","tt4.15","tt4.16","tt4.17","tt4.18","tt4.19","tt4.20","mto1.1","mto1.2","mto1.3","mto1.4","mto1.5","mto1.6","mto1.7","mto1.8","mto1.9","mto1.10","mto1.11","mto1.12","mto1.13","mto1.14","mto1.15","mto1.16"
"Valine",147.4245,197.0517,156.379,126.7924,170.8582,149.1596,129.2439,151.2234,125.0442,61.1243,92.6891,119.293,111.2736,122.9546,116.6926,125.606,117.3066,115.8382,126.8691,157.8586,126.5295,78.7259,150.8962,118.6881,108.8583,123.5292,108.2591,116.6729,94.8907,35.2014,125.6201,103.8185,95.9233,123.7425,129.4418,116.1852,97.6546,165.1849,154.509,215.3136,158.3398,124.9355,132.1945,165.5932,148.1974,99.6128,124.2822,108.8712,120.4393,107.6322,121.4293,116.9446,130.6427
"Fructose 6-phosphate",24.3705,34.879,25.9846,25.2728,26.9081,27.9861,23.7228,21.0951,27.3274,21.5375,21.982,30.8341,24.3583,24.2565,20.249,25.8175,29.4175,28.1029,24.1186,32.9585,32.0357,29.6228,35.5121,32.6556,25.8578,30.4409,30.7651,28.8274,24.4605,23.3884,29.529,23.6591,27.5053,31.8495,30.1325,35.0082,27.7737,29.4001,26.4525,30.237,29.8964,21.099,24.9957,30.29,24.9366,22.0064,27.1786,23.1535,19.6053,24.2715,24.5403,26.8716,27.5381
"Threonine",487.4916,532.9618,555.2368,387.6106,554.657,507.0482,383.3313,467.3636,406.6643,364.6674,386.0846,437.1873,373.2833,423.5184,402.926,431.2512,445.9569,419.7925,389.9188,495.2296,406.6706,377.9676,525.7099,409.8844,355.2513,435.7915,335.9792,405.9881,371.3481,299.8185,394.9394,336.8621,337.6191,394.9518,433.9063,360.1165,301.9985,370.8482,377.311,448.9439,365.6678,306.233,350.2308,389.4809,365.6096,224.203,311.5643,252.3761,326.5786,261.5033,282.969,301.3979,325.5048
"Serine",17.8147,18.9231,24.6437,16.8214,26.9363,17.3923,13.5651,16.1261,12.0916,46.3338,17.535,14.5848,12.668,24.3513,24.1412,17.9854,20.1479,14.9427,12.0269,14.9529,16.5667,49.8457,31.9636,17.3885,15.4932,17.6833,18.6595,20.1013,19.9686,62.737,22.8976,13.0365,24.0167,26.1023,26.7662,28.7507,19.6272,25.6739,34.698,37.7328,33.8206,16.4883,19.471,19.6738,24.0596,21.9829,19.9032,27.4657,21.1268,17.9687,20.6107,24.3907,15.1773
"Tetracosanoate",12.7616,21.7244,14.358,16.5711,19.0464,15.2757,17.4671,14.9,15.1075,13.7735,17.2307,22.95,23.1298,24.4648,14.1528,13.2677,14.3005,19.165,13.4684,26.2041,18.3666,14.8792,18.6189,17.9291,16.0089,17.5036,22.5584,25.9709,16.9363,19.4631,27.3951,14.7601,14.7064,21.0916,22.212,23.1536,22.9822,14.8586,18.9535,17.497,15.6779,10.8141,12.9963,12.7044,14.7649,13.4968,17.6981,17.6603,16.7014,14.7233,17.5997,12.9607,14.7499
"Phenylalanine",35.4448,34.7907,34.4113,30.1405,36.0325,25.6879,28.1466,26.5541,25.0391,25.0251,23.0473,28.3794,23.5316,25.6315,28.8468,22.2994,29.6398,21.1676,18.134,30.6915,26.4164,26.9333,36.8406,28.7594,25.1918,28.5211,25.5561,22.3862,24.4737,23.423,28.987,24.121,21.074,26.7904,26.0249,27.3671,23.7762,20.9634,32.8397,32.7141,27.5557,19.6031,33.1664,28.5099,25.4105,20.2743,27.9226,27.6918,28.9869,28.3085,26.2514,29.8598,30.4254
"Salicylate",957.1685,1006.3073,989.7091,941.6478,995.0612,967.0538,944.1341,989.3293,949.0596,925.7103,921.486,959.6871,932.9855,956.4727,847.4193,905.1459,944.5031,930.4386,986.8788,1004.9168,948.3253,909.6796,963.2656,923.945,897.3786,953.6324,877.4036,918.8596,976.532,701.3327,956.3031,851.9449,856.3698,967.9476,971.3385,879.283,896.0361,968.0383,951.3121,1013.3727,978.6019,957.9492,935.2366,945.6965,948.7245,897.5943,928.0566,910.8998,923.8514,899.6043,912.1532,805.9918,904.976
"Asparagine",5.3328,15.9069,7.2841,4.4581,4.6744,6.1221,2.924,7.2771,3.1353,2.1842,1.8913,2.9405,2.2876,3.6524,3.2011,3.6557,3.0184,7.3366,11.7242,5.2072,2.5765,2.0329,3.2089,2.5219,2.2679,2.3263,2.4857,5.1076,2.1985,1.6939,3.6464,3.3294,3.5176,3.6032,4.6204,2.8235,2.909,13.5047,5.3813,13.3106,8.8942,9.9901,3.3084,7.562,8.7269,3.5116,2.3184,2.4187,3.6676,2.1792,3.428,3.1575,3.4701
"Fumarate",39.3264,25.2641,28.3481,19.1341,37.4924,28.3905,21.0726,20.9764,19.5944,21.7717,23.8592,23.1261,26.4923,32.0324,22.6207,21.2512,20.0258,20.4033,16.8048,25.1208,24.8523,18.4319,29.3757,23.248,18.4097,23.3932,17.9098,24.3752,31.5944,17.6667,24.5114,21.919,17.022,25.0366,24.6962,17.6153,15.9334,25.9371,28.6236,30.1709,23.4593,20.8704,24.8824,29.6438,20.8076,15.0696,25.4034,21.1143,22.8372,18.9493,21.7246,20.7776,20.428
"Linoleate",43.8258,68.1818,39.0883,34.4116,55.0539,31.0468,58.1498,56.1945,43.1156,36.6855,33.461,40.6199,52.5335,52.3304,44.3789,45.2654,42.1731,46.0906,51.1797,56.436,61.1551,52.1913,48.6216,48.9808,59.116,58.1807,47.748,53.5401,57.3083,54.9564,58.798,55.0754,50.4688,78.6582,69.7345,50.3945,54.512,47.7655,58.1697,62.5162,49.2015,33.5926,37.7377,35.8303,31.7479,39.8081,50.466,31.4443,31.432,31.6394,51.0149,60.9438,41.0541
"Stearate",32.2145,30.9152,32.8972,35.7575,34.9806,24.9654,34.0148,25.381,24.2344,26.0697,32.2948,39.7983,26.8546,39.2291,39.8914,23.2167,26.875,24.7098,23.3518,29.6334,21.8006,21.3,24.219,18.6157,23.7268,25.3735,24.8274,30.0435,25.2595,25.536,26.0055,22.2157,22.545,30.3231,26.9406,35.3766,30.7626,46.7961,45.401,42.5263,40.5493,50.9396,46.4554,20.868,40.6458,59.2293,29.902,51.7757,31.7795,31.7794,59.3077,214.6171,36.6293
